date,open,high,low,close,volume,adjClose
1/2/2013,20.2,20.32,20.01,20.08,20463100,20.08
1/3/2013,20.05,20.1,19.72,19.78,19504400,19.78
1/4/2013,19.76,19.95,19.72,19.86,12489600,19.86
1/7/2013,19.56,19.58,19.28,19.4,23864500,19.4
1/8/2013,19.32,19.68,19.3,19.66,16931700,19.66
1/9/2013,19.73,19.75,19.22,19.32,21646700,19.32
1/10/2013,19.19,19.38,18.93,18.99,30647000,18.99
1/11/2013,19.05,19.38,18.89,19.29,21552200,19.29
1/14/2013,19.33,19.54,19.25,19.43,13828400,19.43
1/15/2013,19.28,19.54,19.28,19.52,16087600,19.52
1/16/2013,19.91,20.14,19.62,20.07,33291700,20.07
1/17/2013,20.14,20.21,20,20.13,14500600,20.13
1/18/2013,20.07,20.17,19.97,20.02,13535100,20.02
1/22/2013,19.91,19.95,19.72,19.9,13866900,19.9
1/23/2013,19.98,20.19,19.91,20.11,13857900,20.11
1/24/2013,20.08,20.52,20.07,20.44,13711400,20.44
1/25/2013,20.43,20.48,20.23,20.37,14954300,20.37
1/28/2013,20.5,20.5,20.2,20.31,39510100,20.31
1/29/2013,20.87,20.88,19.68,19.7,57652300,19.7
1/30/2013,19.92,20.12,19.69,20.12,36572300,20.12
1/31/2013,19.92,19.99,19.57,19.63,34973700,19.63
2/1/2013,19.77,19.83,19.58,19.76,27610600,19.76
2/4/2013,19.76,19.81,19.31,19.34,23906500,19.34
2/5/2013,19.49,19.78,19.42,19.66,13559800,19.66
2/6/2013,19.63,19.9,19.59,19.85,15392300,19.85
2/7/2013,20.1,20.43,19.93,20.32,24705600,20.32
2/8/2013,20.38,20.61,20.3,20.5,22249700,20.5
2/11/2013,20.44,20.98,20.39,20.9,22089900,20.9
2/12/2013,20.94,21.4,20.89,21.21,27750200,21.21
2/13/2013,21.15,21.43,21.07,21.15,18797900,21.15
2/14/2013,21.1,21.26,21.06,21.18,12817900,21.18
2/15/2013,21.15,21.25,20.9,21.02,12584000,21.02
2/19/2013,21.03,21.41,20.97,21.29,16665800,21.29
2/20/2013,21.31,21.45,20.9,20.92,14438900,20.92
2/21/2013,20.92,21,20.74,20.83,13296100,20.83
2/22/2013,20.87,21.31,20.85,21.22,13673300,21.22
2/25/2013,21.26,21.32,20.72,20.73,13334900,20.73
2/26/2013,20.68,20.85,20.58,20.76,14038200,20.76
2/27/2013,20.81,21.31,20.69,21.16,15697300,21.16
2/28/2013,21.06,21.57,21.05,21.31,18873700,21.31
3/1/2013,21.36,22.28,21.26,21.94,33776700,21.94
3/4/2013,22.37,22.74,22.2,22.7,30075300,22.7
3/5/2013,22.91,23.08,22.61,22.95,30497400,22.95
3/6/2013,23.08,23.09,22.71,22.8,15193900,22.8
3/7/2013,22.92,23,22.65,22.7,12881800,22.7
3/8/2013,22.92,22.96,22.71,22.9,10583500,22.9
3/11/2013,22.8,23,22.57,22.6,16489200,22.6
3/12/2013,22.51,22.58,22.19,22.4,12012300,22.4
3/13/2013,22.48,22.48,22.16,22.34,13956200,22.34
3/14/2013,22.47,22.75,22.41,22.43,12798500,22.43
3/15/2013,22.34,22.39,21.97,22.07,33557400,22.07
3/18/2013,21.9,22.17,21.87,22.01,15071700,22.01
3/19/2013,22.06,22.33,21.89,22.17,12846900,22.17
3/20/2013,22.03,22.33,21.95,22.1,18094100,22.1
3/21/2013,22.39,22.95,22.36,22.86,24719100,22.86
3/22/2013,22.88,23.26,22.72,23.26,18062100,23.26
3/25/2013,23.41,23.88,23.31,23.38,23138900,23.38
3/26/2013,23.46,23.62,23.35,23.59,16893200,23.59
3/27/2013,23.54,23.83,23.41,23.59,13943600,23.59
3/28/2013,23.63,23.77,23.45,23.53,17611900,23.53
4/1/2013,23.31,23.62,23.19,23.5,12344300,23.5
4/2/2013,23.77,23.9,23.6,23.78,14724800,23.78
4/3/2013,23.78,23.88,23.24,23.38,14934300,23.38
4/4/2013,23.49,23.72,23.36,23.52,12521200,23.52
4/5/2013,23.18,23.41,23.01,23.3,14243700,23.3
4/8/2013,23.24,23.48,23.13,23.48,9998100,23.48
4/9/2013,23.56,24,23.44,23.83,14773900,23.83
4/10/2013,24,24.32,23.95,24.2,17281900,24.2
4/11/2013,24.41,24.57,24.31,24.49,12362500,24.49
4/12/2013,24.58,24.8,24.34,24.69,13342800,24.69
4/15/2013,24.72,24.99,23.83,23.98,28129600,23.98
4/16/2013,24.06,24.26,23.76,23.79,30877500,23.79
4/17/2013,23.45,24.1,23.13,23.7,45148600,23.7
4/18/2013,23.66,23.7,22.7,23.26,25822300,23.26
4/19/2013,23.12,23.63,22.83,23.47,17860200,23.47
4/22/2013,23.71,23.96,23.47,23.95,15539700,23.95
4/23/2013,23.96,24.45,23.96,24.38,16718000,24.38
4/24/2013,24.45,24.97,24.44,24.75,15138800,24.75
4/25/2013,24.93,25.29,24.88,25.2,17289100,25.2
4/26/2013,25.14,25.37,24.58,24.68,19573300,24.68
4/29/2013,24.85,24.91,24.35,24.43,12533100,24.43
4/30/2013,24.38,24.79,24.36,24.73,10091200,24.73
5/1/2013,24.67,24.72,24.26,24.3,11075000,24.3
5/2/2013,24.34,24.97,24.18,24.97,10651000,24.97
5/3/2013,25.13,25.25,24.99,25.07,11513900,25.07
5/6/2013,25.05,25.34,24.92,25.17,11990500,25.17
5/7/2013,26.01,26.79,25.55,26.07,25883100,26.07
5/8/2013,26.17,26.66,25.96,26.41,24960800,26.41
5/9/2013,26.41,26.49,26.14,26.24,11186000,26.24
5/10/2013,26.32,26.86,26.31,26.83,16236400,26.83
5/13/2013,26.76,26.83,26.36,26.39,15808000,26.39
5/14/2013,26.75,26.87,26.52,26.64,14828200,26.64
5/15/2013,26.63,27.68,26.55,27.34,21956500,27.34
5/16/2013,27.43,27.43,26.57,26.58,18192300,26.58
5/17/2013,26.78,26.98,26.46,26.52,14889300,26.52
5/20/2013,26.68,27.05,26.21,26.58,25099100,26.58
5/21/2013,26.9,27.13,26.72,27,14889000,27
5/22/2013,27.07,27.19,26.44,26.54,16046200,26.54
5/23/2013,25.95,26.27,25.7,26.02,23307000,26.02
5/24/2013,25.9,26.48,25.65,26.33,14967100,26.33
5/28/2013,26.65,26.77,25.98,26.07,19015300,26.07
5/29/2013,25.9,26.04,25.32,25.81,18738900,25.81
5/30/2013,25.83,26.5,25.8,26.33,12916200,26.33
5/31/2013,26.2,26.6,26.09,26.3,23994200,26.3
6/3/2013,26.37,26.62,26.13,26.39,16454100,26.39
6/4/2013,26.46,26.57,25.97,26.26,13218300,26.26
6/5/2013,26.11,26.25,25.69,25.75,14270500,25.75
6/6/2013,25.88,26.21,25.66,26.21,13559000,26.21
6/7/2013,26.39,27.09,26.28,27.04,16948700,27.04
6/10/2013,27.04,27.12,26.7,26.74,15850700,26.74
6/11/2013,26.43,26.88,26.32,26.4,10097100,26.4
6/12/2013,26.5,26.53,25.89,25.89,11920800,25.89
6/13/2013,25.79,26.46,25.71,26.37,9763800,26.37
6/14/2013,26.32,26.55,26.16,26.28,7398800,26.28
6/17/2013,26.29,26.85,26.24,26.54,10289700,26.54
6/18/2013,26.57,26.89,26.51,26.66,9710700,26.66
